default,amount,grade,years,ownership,income,age
0,14000,A,14.0,MORTGAGE,47580.0,21
0,18200,B,4.0,RENT,36000.0,24
0,4000,B,6.0,MORTGAGE,60000.0,25
1,14500,D,11.0,MORTGAGE,89000.0,25
1,2000,B,2.0,RENT,32000.0,24
0,6800,E,7.0,RENT,80000.0,24
1,21000,C,6.0,OWN,68000.0,26
1,7000,D,0.0,RENT,38000.0,22
1,6000,A,4.0,RENT,40000.0,22
0,9000,B,0.0,RENT,52000.0,23
0,1200,B,1.0,MORTGAGE,40000.0,23
0,2400,B,4.0,RENT,70000.0,28
0,10000,C,0.0,MORTGAGE,60000.0,21
1,13000,B,9.0,MORTGAGE,68000.0,35
1,2000,D,2.0,RENT,33000.0,38
0,12000,A,7.0,MORTGAGE,51480.0,24
0,22000,B,11.0,MORTGAGE,90000.0,37
1,7750,B,9.0,RENT,112000.0,25
1,2100,E,18.0,RENT,60000.0,24
0,8000,B,2.0,RENT,60000.0,22
1,8000,A,2.0,RENT,42000.0,23
1,10000,C,4.0,RENT,33996.0,25
1,10000,A,16.0,MORTGAGE,58500.0,30
0,9000,C,3.0,RENT,36000.0,22
1,5600,C,0.0,RENT,39000.0,22
0,17000,A,16.0,MORTGAGE,135000.0,24
1,13000,D,1.0,OTHER,57500.0,25
1,5000,A,5.0,MORTGAGE,42082.0,27
0,12000,B,15.0,OWN,49536.0,27
0,35000,D,10.0,MORTGAGE,350000.0,35
1,6000,A,0.0,RENT,35000.0,29
0,9500,A,4.0,MORTGAGE,100000.0,32
0,21000,B,17.0,RENT,110000.0,39
0,10000,A,5.0,RENT,55000.0,24
1,7000,B,19.0,MORTGAGE,69600.0,25
0,12000,C,5.0,RENT,65000.0,22
1,13200,D,0.0,RENT,60000.0,26
0,20000,B,5.0,MORTGAGE,100000.0,23
0,2000,B,2.0,RENT,75000.0,24
1,12000,A,6.0,RENT,36000.0,29
0,9500,A,12.0,MORTGAGE,48152.0,23
0,4500,A,4.0,RENT,32000.0,45
1,23500,B,,RENT,51600.0,34
0,4400,A,11.0,OWN,41520.0,25
0,13000,B,5.0,RENT,39000.0,22
1,2500,C,1.0,RENT,52180.0,24
0,10000,C,5.0,RENT,54996.0,24
0,5000,A,0.0,RENT,28140.0,29
1,4500,A,3.0,RENT,50000.0,22
1,18000,E,2.0,RENT,65000.0,26
1,2000,C,2.0,RENT,27600.0,23
0,8525,A,2.0,RENT,51600.0,62
1,3000,A,11.0,MORTGAGE,87000.0,28
0,12000,B,9.0,MORTGAGE,77000.0,40
1,5000,A,8.0,OWN,65000.0,27
0,3000,B,5.0,RENT,35000.0,22
0,6000,A,0.0,RENT,55182.4,40
0,2250,C,,MORTGAGE,17352.0,22
0,6075,A,3.0,MORTGAGE,37000.0,24
1,8000,D,4.0,RENT,19200.0,22
0,12000,A,1.0,MORTGAGE,100000.0,31
1,16000,F,4.0,MORTGAGE,85000.0,31
0,1500,A,1.0,RENT,33996.0,23
1,13000,D,14.0,RENT,28000.0,26
1,10000,A,4.0,RENT,40000.0,25
1,25000,E,4.0,RENT,55000.0,41
1,8000,C,7.0,OWN,34000.0,27
0,1000,A,12.0,MORTGAGE,42806.0,23
1,8525,C,29.0,RENT,110000.0,30
0,11500,A,5.0,RENT,62500.0,24
0,35000,D,7.0,MORTGAGE,100000.0,23
1,14500,B,0.0,MORTGAGE,45760.0,30
1,12000,A,5.0,MORTGAGE,69996.0,24
0,6000,C,11.0,RENT,29000.0,23
1,12000,A,,RENT,41830.08,32
0,5125,B,,OWN,50000.0,27
0,6625,A,1.0,MORTGAGE,64000.0,22
1,5000,A,25.0,OWN,36000.0,31
0,10000,B,7.0,OWN,35000.0,23
0,5000,B,3.0,RENT,65000.0,22
0,3600,B,0.0,RENT,40000.0,24
0,7500,B,11.0,MORTGAGE,79000.0,25
1,10000,C,15.0,RENT,30000.0,46
0,18500,B,4.0,RENT,34300.0,24
1,2500,D,2.0,RENT,18000.0,27
0,3000,B,23.0,MORTGAGE,54000.0,22
0,25000,B,9.0,MORTGAGE,93600.0,21
0,6000,B,1.0,RENT,112000.0,28
0,11425,B,8.0,MORTGAGE,57000.0,22
0,25000,B,11.0,RENT,48000.0,33
0,6800,A,5.0,RENT,70000.0,25
0,7000,A,11.0,RENT,52000.0,26
1,25000,D,1.0,MORTGAGE,64000.0,26
0,5000,A,2.0,MORTGAGE,62000.0,23
1,15000,A,11.0,OTHER,70000.0,28
0,15000,B,19.0,RENT,42000.0,23
1,5600,C,1.0,MORTGAGE,85000.0,24
1,25000,D,3.0,RENT,90000.0,39
0,11300,B,7.0,MORTGAGE,36000.0,23
0,7200,A,32.0,MORTGAGE,29000.0,26
0,7000,D,6.0,MORTGAGE,37000.0,25
1,8000,C,7.0,MORTGAGE,99220.0,24
0,2500,C,6.0,MORTGAGE,55000.0,34
0,16000,B,1.0,RENT,75000.0,26
0,10000,B,10.0,RENT,56004.0,23
0,7000,A,0.0,RENT,97600.0,42
0,16725,B,5.0,MORTGAGE,69638.4,27
1,5000,D,5.0,MORTGAGE,95000.0,23
0,9000,A,4.0,MORTGAGE,81804.0,33
0,10000,A,9.0,RENT,52000.0,29
1,10000,C,17.0,MORTGAGE,60000.0,26
1,3000,A,,MORTGAGE,18000.0,47
0,10000,A,0.0,RENT,21120.0,32
0,15000,C,0.0,MORTGAGE,82000.0,28
1,3800,A,0.0,MORTGAGE,47000.0,29
0,8500,A,4.0,MORTGAGE,36500.0,33
0,15000,B,5.0,MORTGAGE,74000.0,32
0,5000,C,4.0,RENT,58000.0,23
1,1500,A,,RENT,45000.0,30
1,25000,D,15.0,RENT,72000.0,25
1,8000,G,0.0,RENT,30000.0,35
0,3975,B,5.0,MORTGAGE,35568.0,29
1,15250,C,6.0,MORTGAGE,55493.0,26
0,4000,A,2.0,MORTGAGE,51000.0,26
0,30000,D,3.0,RENT,160000.0,61
1,7500,D,17.0,MORTGAGE,145900.0,25
1,12000,B,3.0,OWN,30000.0,26
1,6000,B,11.0,MORTGAGE,45996.0,37
0,12000,A,4.0,MORTGAGE,113000.0,23
0,14500,C,8.0,RENT,90000.0,33
0,4500,C,6.0,RENT,41000.0,23
1,5000,B,0.0,RENT,16320.0,22
1,35000,B,6.0,MORTGAGE,110000.0,30
1,18000,D,13.0,OWN,60000.0,27
0,10000,D,16.0,RENT,75000.0,26
0,5000,A,5.0,RENT,27360.0,22
0,20000,A,11.0,RENT,58800.0,23
0,4375,A,7.0,MORTGAGE,17108.0,38
0,9000,A,3.0,RENT,50760.0,26
0,6000,B,2.0,MORTGAGE,60000.0,21
0,2500,B,5.0,RENT,44500.0,27
0,12000,A,5.0,MORTGAGE,80400.0,24
0,4000,B,5.0,MORTGAGE,37620.0,28
1,3000,B,1.0,RENT,18000.0,23
0,12000,A,7.0,MORTGAGE,30000.0,23
0,5000,B,18.0,MORTGAGE,70000.0,26
0,5500,C,5.0,RENT,24000.0,30
0,5400,A,7.0,MORTGAGE,75000.0,21
0,1200,E,9.0,OWN,30000.0,25
0,24000,A,3.0,MORTGAGE,153660.0,35
1,30000,D,6.0,MORTGAGE,120000.0,39
0,9000,A,6.0,RENT,56000.0,24
0,15000,C,6.0,MORTGAGE,48000.0,29
0,10000,C,4.0,RENT,70000.0,24
1,5000,C,34.0,MORTGAGE,47000.0,25
1,25000,F,5.0,MORTGAGE,75000.0,28
0,9000,A,7.0,MORTGAGE,125000.0,27
0,1000,A,5.0,RENT,45000.0,24
0,5500,B,1.0,RENT,30000.0,22
1,11000,C,5.0,OWN,100000.0,28
1,3600,B,0.0,OWN,70000.0,23
1,2400,C,1.0,RENT,21600.0,23
1,19400,C,3.0,MORTGAGE,70500.0,32
1,9250,D,10.0,RENT,38000.0,29
0,6000,A,6.0,MORTGAGE,100000.0,58
0,15000,C,23.0,RENT,45000.0,23
0,25000,D,0.0,RENT,90000.0,28
0,6000,A,1.0,MORTGAGE,54000.0,25
0,9000,B,8.0,RENT,36120.0,21
0,3200,B,2.0,RENT,12000.0,32
1,2000,B,5.0,RENT,32640.0,24
0,7500,C,,MORTGAGE,34400.0,27
0,8250,B,4.0,RENT,33000.0,21
1,10000,A,6.0,RENT,24000.0,22
0,12250,B,5.0,OWN,43200.0,28
1,4750,C,,OWN,10400.0,27
1,10000,B,6.0,RENT,68496.0,22
0,16000,C,16.0,MORTGAGE,106800.0,24
0,13000,B,4.0,MORTGAGE,87000.0,25
1,1000,C,0.0,RENT,18000.0,28
1,14400,A,4.0,MORTGAGE,59000.0,21
1,18300,B,5.0,MORTGAGE,74900.0,24
0,15000,B,1.0,RENT,100000.0,24
1,5000,C,0.0,RENT,42000.0,23
1,7000,B,19.0,MORTGAGE,73000.0,23
0,7500,B,0.0,RENT,36684.0,41
0,7500,A,4.0,RENT,34000.0,29
0,4000,D,2.0,MORTGAGE,143123.0,24
1,12000,B,0.0,MORTGAGE,35400.0,21
0,10000,A,6.0,MORTGAGE,108000.0,27
0,10000,D,1.0,RENT,36000.0,27
0,15000,B,4.0,RENT,75000.0,23
0,6000,A,1.0,RENT,50000.0,24
1,15250,D,3.0,MORTGAGE,60000.0,30
0,15000,C,1.0,RENT,47000.0,23
0,2200,B,11.0,MORTGAGE,50123.0,28
0,6500,B,3.0,MORTGAGE,95000.0,54
0,5750,C,3.0,RENT,85000.0,42
0,15000,A,12.0,MORTGAGE,85000.0,24
0,9000,A,2.0,RENT,62604.0,25
1,35000,E,14.0,RENT,270000.0,27
1,4200,B,5.0,MORTGAGE,33000.0,29
0,8000,A,0.0,RENT,90000.0,22
0,14400,B,18.0,MORTGAGE,180000.0,25
0,6000,B,2.0,MORTGAGE,60000.0,21
0,5000,C,4.0,MORTGAGE,85000.0,40
0,5000,D,0.0,RENT,21600.0,25
0,10000,A,5.0,MORTGAGE,54000.0,34
1,6000,C,11.0,MORTGAGE,66000.0,29
0,4250,B,7.0,RENT,50000.0,22
0,6650,B,2.0,RENT,56000.0,24
1,10000,D,2.0,RENT,45000.0,23
1,7000,C,2.0,RENT,38000.0,29
0,20000,B,1.0,MORTGAGE,145000.0,32
1,20000,B,0.0,RENT,240000.0,32
0,16000,D,19.0,RENT,65000.0,29
0,12025,B,3.0,MORTGAGE,80000.0,36
1,20000,E,4.0,RENT,62000.0,21
1,4000,D,5.0,MORTGAGE,30000.0,31
0,8000,A,24.0,MORTGAGE,57200.0,21
0,6200,A,14.0,MORTGAGE,65000.0,30
1,5000,B,4.0,RENT,32000.0,23
1,3000,C,2.0,RENT,36000.0,47
0,18500,C,2.0,RENT,55784.0,25
0,3500,C,2.0,MORTGAGE,125000.0,29
1,8800,A,16.0,MORTGAGE,60000.0,31
0,4200,C,6.0,RENT,30000.0,28
1,7000,B,12.0,RENT,37000.0,23
1,1400,A,,MORTGAGE,30108.0,29
1,8000,A,1.0,RENT,55000.0,22
1,5250,A,3.0,RENT,24000.0,23
0,6000,B,0.0,RENT,90000.0,30
0,18000,B,0.0,MORTGAGE,200000.0,24
1,1000,B,0.0,RENT,33600.0,54
0,14000,B,2.0,RENT,70000.0,25
1,25000,B,2.0,RENT,100000.0,25
0,9000,A,9.0,MORTGAGE,62000.0,29
0,10000,C,15.0,MORTGAGE,186480.0,28
0,6500,A,7.0,RENT,28000.0,26
1,7750,D,1.0,MORTGAGE,60000.0,45
0,9000,A,7.0,RENT,45000.0,22
1,11000,A,5.0,MORTGAGE,64800.0,24
1,2950,D,4.0,RENT,9600.0,26
1,2500,A,1.0,MORTGAGE,32000.0,25
1,15000,D,10.0,MORTGAGE,75000.0,25
0,1800,B,22.0,MORTGAGE,100000.0,35
1,5000,C,2.0,RENT,45000.0,22
0,6000,B,3.0,RENT,67000.0,27
0,15000,C,2.0,RENT,75000.0,27
0,20000,C,4.0,MORTGAGE,62000.0,29
1,1000,B,11.0,RENT,35000.0,25
0,9875,A,4.0,RENT,30000.0,22
1,8000,A,1.0,RENT,40000.0,30
1,13000,B,7.0,MORTGAGE,40000.0,23
0,12000,B,16.0,RENT,90000.0,22
1,10000,B,7.0,MORTGAGE,50004.0,35
0,25000,B,2.0,OWN,180000.0,26
1,10000,B,2.0,RENT,35000.0,27
0,10000,C,0.0,OWN,35000.0,29
0,8000,D,8.0,MORTGAGE,80000.0,23
0,13000,A,5.0,MORTGAGE,108000.0,26
0,5000,C,7.0,RENT,63000.0,23
1,7000,B,,RENT,22776.0,25
1,8500,D,4.0,RENT,36000.0,22
1,6250,A,7.0,MORTGAGE,43000.0,24
0,12000,B,5.0,MORTGAGE,85000.0,24
0,8000,C,22.0,MORTGAGE,55000.0,29
1,1000,C,,RENT,18408.0,51
0,11600,A,1.0,MORTGAGE,70000.0,40
1,2000,E,21.0,MORTGAGE,72000.0,39
0,10000,C,1.0,RENT,54000.0,24
1,4000,C,6.0,RENT,40000.0,30
0,15000,B,,OWN,45000.0,28
1,3000,C,0.0,RENT,42000.0,23
0,8000,C,12.0,RENT,41579.0,25
0,13600,A,0.0,MORTGAGE,101900.0,24
0,15000,D,5.0,RENT,59534.0,31
1,6500,C,9.0,MORTGAGE,55200.0,22
1,11400,B,,MORTGAGE,58800.0,29
0,6000,A,9.0,RENT,155000.0,30
0,8000,A,36.0,MORTGAGE,30000.0,25
1,1500,C,3.0,MORTGAGE,54000.0,36
0,20000,B,20.0,RENT,90000.0,26
0,3200,A,0.0,MORTGAGE,75000.0,23
1,2500,C,1.0,RENT,36000.0,31
0,4850,C,11.0,RENT,23000.0,22
1,3500,A,6.0,RENT,26400.0,21
1,25000,B,1.0,RENT,100000.0,25
0,12000,B,6.0,MORTGAGE,95004.0,56
1,7500,C,1.0,RENT,36000.0,35
1,25000,F,16.0,MORTGAGE,113000.0,26
0,10000,A,3.0,MORTGAGE,73000.0,24
0,12000,A,4.0,RENT,32000.0,24
0,4200,B,12.0,RENT,29000.0,26
0,7000,A,2.0,RENT,22884.0,26
0,8000,A,4.0,RENT,50000.0,23
0,7200,C,13.0,OWN,75000.0,26
0,3000,A,1.0,RENT,49800.0,22
1,7200,A,3.0,RENT,68000.0,23
1,9000,A,1.0,RENT,35000.0,29
0,6000,E,3.0,RENT,65100.0,22
1,10000,B,,MORTGAGE,70000.0,30
0,21000,B,4.0,MORTGAGE,100800.0,24
1,1000,B,,RENT,10500.0,23
0,3500,D,24.0,RENT,74004.0,26
0,35000,A,7.0,MORTGAGE,104000.0,29
1,12000,C,6.0,MORTGAGE,60000.0,22
1,4200,B,2.0,RENT,60000.0,23
0,3500,B,3.0,MORTGAGE,137000.0,26
0,2200,B,8.0,MORTGAGE,58788.0,35
0,5000,A,15.0,MORTGAGE,60000.0,26
1,10750,C,12.0,RENT,30067.2,21
1,13250,D,7.0,RENT,35000.0,31
0,3000,B,3.0,RENT,31200.0,22
1,18000,D,3.0,RENT,71000.0,25
1,35000,B,3.0,RENT,82000.0,65
0,13000,B,0.0,RENT,170000.0,26
1,25000,B,4.0,MORTGAGE,75000.0,26
0,14000,D,1.0,RENT,71700.0,24
0,5000,B,6.0,RENT,24000.0,29
1,4800,B,4.0,MORTGAGE,36000.0,23
1,3200,B,3.0,RENT,84000.0,23
1,12500,C,0.0,RENT,38000.0,24
0,4050,A,4.0,RENT,14400.0,24
0,2400,A,2.0,RENT,66000.0,22
0,6200,B,6.0,OWN,58000.0,31
0,12000,A,8.0,RENT,62000.0,23
1,7500,B,7.0,MORTGAGE,50000.0,25
1,2200,A,4.0,MORTGAGE,50000.0,24
0,5000,D,2.0,MORTGAGE,24000.0,23
0,1000,B,9.0,MORTGAGE,36000.0,22
1,5925,B,0.0,RENT,40000.0,25
1,7500,B,0.0,RENT,45000.0,34
0,5000,B,3.0,RENT,34900.0,24
0,2500,A,17.0,MORTGAGE,70000.0,56
0,4000,A,2.0,RENT,30000.0,24
1,6000,B,6.0,MORTGAGE,59000.0,23
0,4000,B,5.0,MORTGAGE,65000.0,23
0,10000,A,10.0,MORTGAGE,45992.0,23
0,4000,C,4.0,RENT,32640.0,25
0,6000,E,0.0,RENT,54000.0,26
0,8500,C,1.0,MORTGAGE,130000.0,30
0,5400,A,3.0,MORTGAGE,36000.0,26
1,12000,A,9.0,MORTGAGE,52000.0,24
0,9000,B,5.0,MORTGAGE,120000.0,29
0,10000,B,0.0,RENT,40000.0,28
0,7500,A,1.0,OWN,90000.0,27
0,11800,B,4.0,RENT,35000.0,22
0,5000,A,4.0,RENT,39000.0,22
1,18000,C,16.0,MORTGAGE,98260.0,27
0,10000,E,11.0,RENT,96000.0,26
0,25000,B,2.0,RENT,52000.0,22
0,2500,D,8.0,RENT,41500.0,22
0,6000,D,1.0,MORTGAGE,35000.0,24
0,5000,A,1.0,RENT,30000.0,28
1,3700,B,4.0,RENT,35000.0,31
0,8400,A,2.0,RENT,68000.0,24
1,5000,C,2.0,OWN,38000.0,23
0,6000,A,11.0,MORTGAGE,114000.0,40
0,3000,A,1.0,RENT,67500.0,26
0,25000,D,7.0,MORTGAGE,101000.0,22
1,25000,E,9.0,MORTGAGE,85000.0,24
0,5000,B,7.0,RENT,42000.0,27
1,4000,E,14.0,RENT,108000.0,32
1,1875,A,,RENT,15204.0,31
0,17600,A,9.0,MORTGAGE,108928.8,27
0,2500,A,0.0,OWN,42108.0,29
0,9500,C,33.0,OWN,74600.0,28
1,25000,E,2.0,RENT,108000.0,25
1,9000,A,8.0,RENT,30000.0,26
0,10000,A,13.0,MORTGAGE,100000.0,30
0,6000,C,5.0,MORTGAGE,44004.0,28
1,2400,B,11.0,MORTGAGE,72000.0,31
0,13200,B,2.0,RENT,46596.0,25
0,20000,C,0.0,RENT,99996.0,24
0,9800,D,12.0,MORTGAGE,54442.0,24
1,10000,C,9.0,MORTGAGE,47000.0,22
0,3000,C,0.0,RENT,25000.0,32
1,10000,A,0.0,MORTGAGE,135000.0,28
1,15000,B,11.0,OTHER,72000.0,22
0,1800,B,0.0,RENT,24000.0,24
1,12000,B,1.0,RENT,70000.0,24
1,25000,B,14.0,RENT,200000.0,32
0,14000,A,25.0,RENT,55000.0,25
0,7800,C,18.0,MORTGAGE,300000.0,26
0,8000,C,1.0,RENT,52800.0,24
1,8250,C,6.0,RENT,76000.0,25
0,1700,B,12.0,OWN,34800.0,24
1,8500,C,40.0,MORTGAGE,59826.0,26
0,4000,B,9.0,MORTGAGE,69000.0,28
0,8000,C,3.0,RENT,30000.0,26
1,13000,B,2.0,RENT,76000.0,29
1,25000,G,1.0,MORTGAGE,60000.0,29
0,10000,A,18.0,MORTGAGE,88500.0,26
1,5500,C,2.0,RENT,60000.0,37
1,20000,C,4.0,OWN,45000.0,27
0,1200,A,1.0,OWN,24000.0,31
0,6000,B,0.0,OWN,38000.0,30
1,10000,A,6.0,RENT,29000.0,22
0,17500,A,3.0,MORTGAGE,152000.0,26
1,9450,A,2.0,RENT,33600.0,24
0,4400,B,7.0,MORTGAGE,37000.0,34
0,6250,B,2.0,MORTGAGE,37400.0,36
0,10000,A,5.0,MORTGAGE,90000.0,27
0,10000,B,1.0,RENT,89000.0,31
1,5000,D,4.0,RENT,18600.0,28
0,6000,B,2.0,RENT,45000.0,23
0,2500,C,4.0,RENT,42000.0,23
0,5000,C,8.0,MORTGAGE,95400.0,26
0,8000,C,5.0,RENT,31416.0,25
0,4200,C,0.0,RENT,21600.0,23
0,7200,B,1.0,RENT,40000.0,25
1,10750,B,11.0,OWN,49200.0,26
0,10000,B,7.0,MORTGAGE,88560.0,24
1,1400,A,8.0,MORTGAGE,28800.0,24
1,5200,A,0.0,MORTGAGE,75000.0,25
0,4550,C,4.0,RENT,20664.0,23
1,5000,C,7.0,RENT,44000.0,28
0,4800,A,,RENT,89000.0,26
1,2300,A,0.0,MORTGAGE,78000.0,24
1,5600,D,1.0,RENT,30000.0,21
1,12000,B,2.0,RENT,45000.0,44
0,2000,C,4.0,OWN,9000.0,23
0,9600,B,2.0,MORTGAGE,24000.0,28
1,3250,A,0.0,RENT,6000.0,29
1,10000,B,2.0,RENT,70000.0,22
0,14500,A,8.0,MORTGAGE,70572.0,23
0,2500,D,9.0,RENT,47004.0,26
1,5000,B,2.0,MORTGAGE,70000.0,33
0,12000,B,21.0,MORTGAGE,175000.0,34
0,5000,B,0.0,RENT,38000.0,29
1,15000,D,14.0,MORTGAGE,40000.0,22
0,15075,A,8.0,MORTGAGE,62000.0,22
0,24000,E,0.0,MORTGAGE,85000.0,28
0,14000,B,2.0,RENT,70000.0,25
0,7000,F,2.0,RENT,41000.0,22
1,8000,C,4.0,RENT,60000.0,22
0,2200,A,0.0,RENT,15000.0,25
1,7750,D,6.0,RENT,35000.0,23
1,7000,C,3.0,RENT,60000.0,45
0,9000,A,,MORTGAGE,66766.0,24
0,9000,C,4.0,RENT,45000.0,28
1,6000,B,8.0,MORTGAGE,82000.0,23
0,32000,E,26.0,MORTGAGE,68000.0,35
0,4000,C,2.0,RENT,43000.0,41
1,20000,D,8.0,MORTGAGE,85000.0,25
0,16000,C,14.0,MORTGAGE,89000.0,22
1,14300,C,5.0,RENT,30000.0,32
0,2500,B,0.0,RENT,22000.0,24
1,3500,B,2.0,OWN,25788.36,22
0,6000,A,0.0,RENT,100000.0,25
0,2000,C,1.0,RENT,26496.0,23
1,6000,B,7.0,RENT,68065.44,26
0,5000,B,7.0,RENT,99996.0,28
0,4100,A,3.0,MORTGAGE,147000.0,26
0,10000,C,2.0,RENT,70000.0,28
0,14000,D,1.0,RENT,40000.0,39
1,3000,A,4.0,RENT,50000.0,23
0,24000,G,28.0,MORTGAGE,119450.0,27
0,8900,B,3.0,RENT,116400.0,31
1,6000,A,1.0,RENT,51000.0,29
0,17000,B,5.0,MORTGAGE,63834.24,26
0,13000,C,3.0,OWN,67000.0,24
0,5500,D,2.0,MORTGAGE,99670.0,23
1,8000,B,1.0,RENT,60000.0,25
1,35000,C,11.0,MORTGAGE,120000.0,31
1,20000,B,0.0,RENT,43000.0,45
0,4500,D,2.0,RENT,49200.0,27
0,10500,A,19.0,MORTGAGE,70000.0,42
1,12000,D,4.0,OWN,70000.0,25
0,12000,C,2.0,RENT,136000.0,26
1,5600,C,12.0,RENT,30000.0,25
1,2500,D,0.0,MORTGAGE,32000.0,23
1,15000,B,0.0,RENT,36021.96,22
1,7600,C,3.0,RENT,45000.0,25
0,15000,C,14.0,RENT,60000.0,23
1,20000,C,0.0,MORTGAGE,96000.0,35
0,7200,B,1.0,RENT,65000.0,29
0,7500,B,8.0,MORTGAGE,45000.0,31
0,9000,C,3.0,RENT,47000.0,27
0,8000,C,3.0,MORTGAGE,42252.0,24
1,18250,E,,MORTGAGE,48000.0,24
0,4750,C,2.0,MORTGAGE,19200.0,30
0,5500,B,4.0,RENT,60000.0,29
1,20000,B,10.0,RENT,40000.0,25
1,7000,B,3.0,RENT,62500.0,29
1,10000,B,3.0,RENT,30000.0,23
1,23000,A,12.0,MORTGAGE,98000.0,27
0,8325,D,3.0,MORTGAGE,33000.0,23
1,30000,D,4.0,MORTGAGE,125000.0,30
0,8000,A,5.0,MORTGAGE,90000.0,26
0,11000,A,4.0,OWN,45000.0,24
0,14000,D,9.0,RENT,73000.0,35
1,2000,C,4.0,RENT,50004.0,36
0,10000,A,11.0,MORTGAGE,96060.0,23
0,14000,A,2.0,OWN,40000.0,33
0,5000,B,5.0,MORTGAGE,47000.0,31
1,8400,C,5.0,MORTGAGE,94000.0,44
0,14625,C,5.0,MORTGAGE,80000.0,25
1,2600,A,6.0,MORTGAGE,63000.0,34
1,1200,A,4.0,RENT,19200.0,35
0,11000,A,3.0,RENT,56000.0,23
0,6000,A,6.0,RENT,49000.0,23
1,24000,E,3.0,RENT,68250.0,22
0,18000,C,0.0,MORTGAGE,100000.0,28
0,5000,B,,OWN,18000.0,21
1,4800,A,0.0,RENT,27996.0,33
0,7000,B,1.0,RENT,190000.0,29
0,6500,B,7.0,MORTGAGE,48000.0,22
1,11200,A,3.0,OTHER,25000.0,32
0,4500,C,24.0,MORTGAGE,115200.0,26
1,1500,C,3.0,OWN,48000.0,30
1,5550,B,5.0,RENT,31000.0,22
0,10000,B,13.0,RENT,56253.0,27
1,4725,C,0.0,RENT,19800.0,26
1,24000,E,2.0,MORTGAGE,150000.0,29
1,8000,C,5.0,RENT,50000.0,23
0,3700,A,2.0,RENT,75000.0,23
1,6825,A,0.0,MORTGAGE,42000.0,27
1,21000,B,6.0,RENT,78000.0,31
0,10000,B,,OWN,20856.0,24
0,12000,A,1.0,MORTGAGE,100000.0,31
1,6000,B,14.0,RENT,27000.0,25
0,15000,C,1.0,MORTGAGE,85000.0,26
1,10000,B,17.0,RENT,62000.0,26
1,8000,B,0.0,RENT,21340.0,35
0,15000,B,13.0,RENT,33800.0,21
0,12000,B,2.0,RENT,77000.0,26
0,10800,B,1.0,MORTGAGE,65000.0,23
0,2000,D,1.0,MORTGAGE,65707.0,25
1,10000,D,21.0,OWN,120000.0,36
1,8000,C,10.0,RENT,58000.0,24
1,10000,C,1.0,OWN,34800.0,28
0,7000,C,20.0,MORTGAGE,92000.0,23
1,15600,B,7.0,RENT,48000.0,36
1,7000,B,2.0,OWN,24000.0,21
1,12000,A,3.0,OWN,75000.0,29
1,6000,D,2.0,MORTGAGE,34000.0,25
0,3500,D,2.0,RENT,62400.0,25
0,7000,A,13.0,MORTGAGE,75000.0,24
0,16000,B,11.0,OWN,600000.0,37
1,11500,D,5.0,RENT,25200.0,28
0,12000,C,20.0,OWN,110000.0,30
0,17500,B,3.0,MORTGAGE,78948.0,26
0,7000,A,1.0,RENT,36000.0,24
0,17500,C,8.0,MORTGAGE,58000.0,25
0,4000,B,1.0,RENT,21864.0,29
0,6400,A,2.0,RENT,30000.0,23
0,14400,A,0.0,MORTGAGE,135000.0,28
1,2500,C,4.0,RENT,21996.0,29
0,7000,A,3.0,RENT,40000.0,24
1,5000,D,6.0,OWN,33000.0,31
0,2500,C,11.0,MORTGAGE,50000.0,25
0,6000,A,7.0,RENT,57006.0,31
1,10500,B,0.0,MORTGAGE,79000.0,27
0,6725,B,,RENT,29000.0,37
0,3800,A,1.0,RENT,55000.0,23
0,5000,A,9.0,MORTGAGE,60000.0,27
1,10000,C,5.0,RENT,40000.0,26
0,7000,C,2.0,RENT,45000.0,43
0,6000,A,2.0,RENT,54000.0,29
1,4000,C,2.0,RENT,48000.0,24
1,10000,A,2.0,RENT,80000.0,22
0,5800,B,3.0,RENT,36000.0,27
1,2250,D,3.0,MORTGAGE,27600.0,30
1,6000,D,1.0,RENT,31200.0,21
1,3625,B,1.0,RENT,24000.0,26
1,5000,B,2.0,OWN,88900.0,26
0,12000,A,7.0,MORTGAGE,100000.0,34
1,1700,A,,MORTGAGE,37800.0,34
1,13000,A,3.0,MORTGAGE,37000.0,30
1,5000,A,2.0,RENT,14400.0,23
1,9000,A,,MORTGAGE,200000.0,31
0,11000,C,3.0,MORTGAGE,75000.0,23
0,25000,F,10.0,RENT,114000.0,37
1,20000,C,0.0,RENT,54912.0,24
1,25000,A,5.0,MORTGAGE,90111.0,30
0,10000,A,5.0,RENT,100000.0,24
0,7200,A,3.0,OWN,62000.0,39
1,15000,F,15.0,RENT,67000.0,28
0,4500,C,0.0,RENT,18204.0,25
0,10000,A,4.0,MORTGAGE,50000.0,29
0,11000,B,2.0,OWN,45843.2,23
0,9000,C,0.0,MORTGAGE,55000.0,32
1,10500,A,5.0,RENT,40500.0,21
0,20000,B,3.0,MORTGAGE,60000.0,26
0,20000,B,18.0,MORTGAGE,80000.0,37
1,7500,B,9.0,RENT,40000.0,23
1,11200,C,6.0,RENT,63800.0,22
0,10000,A,3.0,MORTGAGE,75000.0,55
0,6400,A,8.0,MORTGAGE,100000.0,33
1,8400,A,1.0,RENT,36000.0,23
1,15000,D,12.0,MORTGAGE,73700.0,23
0,3000,D,2.0,RENT,46750.0,30
0,25000,B,7.0,MORTGAGE,80000.0,31
