"Age","Gender","OwnHome","Married","Location","Salary","Children","History","Catalogs","AmountSpent","Cust_Id"
"Old","Male","Own","Married","Far",41300,0,"High",24,1985,1121
"Old","Female","Own","Single","Far",32700,0,"Medium",24,1252,1134
"Old","Female","Own","Single","Close",35200,0,NA,12,827,971
"Young","Female","Rent","Single","Close",13100,0,NA,18,314,1146
"Middle","Male","Own","Married","Close",97400,1,"High",6,880,471
"Young","Female","Rent","Single","Far",23100,2,"Low",6,466,522
"Middle","Male","Own","Single","Close",49200,3,"Low",12,210,482
"Middle","Male","Own","Single","Far",45000,1,NA,18,902,740
"Middle","Male","Own","Married","Close",87200,0,"High",18,1274,130
"Middle","Male","Own","Single","Close",49900,1,NA,24,1631,683
"Middle","Male","Own","Married","Close",66900,0,"High",12,1220,399
"Middle","Female","Own","Single","Close",47600,1,"Medium",12,801,173
"Middle","Female","Own","Single","Close",47900,0,NA,12,1090,317
"Middle","Male","Own","Single","Close",59400,0,"Medium",18,1699,71
"Middle","Female","Rent","Single","Close",32700,2,"Low",6,273,841
"Middle","Male","Rent","Single","Close",34200,1,"Low",18,523,174
"Middle","Male","Own","Married","Close",96600,0,NA,12,1437,21
"Middle","Female","Own","Married","Close",126300,1,"High",6,1888,570
"Young","Male","Rent","Single","Close",31600,1,NA,12,476,861
"Middle","Female","Own","Married","Far",108100,3,"High",18,2632,29
"Middle","Female","Rent","Single","Close",43300,3,"Low",24,326,424
"Old","Female","Rent","Single","Far",17900,0,"Low",6,446,638
"Middle","Male","Own","Single","Far",50100,1,"High",18,1071,312
"Old","Female","Own","Married","Close",74700,0,"High",12,1699,763
"Old","Male","Rent","Married","Close",60000,0,"Medium",6,966,807
"Young","Male","Own","Single","Close",33400,0,NA,12,567,311
"Middle","Female","Rent","Married","Close",68800,0,NA,6,1658,470
"Middle","Female","Rent","Single","Close",25700,2,"Low",6,173,131
"Middle","Male","Own","Married","Close",83700,0,"High",24,3344,481
"Middle","Male","Rent","Single","Close",50500,0,"Medium",12,1029,396
"Young","Female","Rent","Single","Close",17300,0,"Low",12,345,1080
"Middle","Male","Own","Single","Close",45800,0,NA,6,712,240
"Old","Male","Own","Married","Close",108900,0,"High",12,1841,331
"Middle","Female","Rent","Married","Close",60500,2,"Low",6,409,45
"Old","Female","Own","Married","Far",84100,0,"High",18,2710,1216
"Young","Male","Rent","Married","Far",25100,0,"Medium",12,592,735
"Middle","Male","Own","Married","Close",69900,1,NA,18,2101,77
"Middle","Male","Own","Married","Close",97100,0,NA,12,1473,1206
"Middle","Female","Own","Married","Close",72200,2,"Medium",18,715,903
"Old","Female","Own","Married","Far",78900,0,"High",18,2233,612
"Middle","Female","Own","Single","Far",62500,3,NA,6,921,657
"Young","Female","Rent","Single","Close",17800,1,"Low",6,216,1199
"Middle","Female","Own","Married","Close",105500,1,"High",6,1781,1096
"Middle","Female","Own","Single","Close",46100,2,"Low",12,418,419
"Young","Male","Rent","Single","Close",27100,1,"Low",12,268,547
"Young","Male","Rent","Married","Far",60300,1,NA,6,1252,1281
"Young","Female","Rent","Single","Close",12000,0,"Low",6,140,833
"Middle","Female","Own","Single","Close",48400,0,"Medium",12,992,738
"Middle","Male","Rent","Single","Close",45600,0,"Medium",18,1388,944
"Middle","Female","Own","Single","Close",35200,2,"Low",6,233,837
"Middle","Male","Rent","Single","Far",60200,0,"High",24,2304,818
"Middle","Female","Rent","Married","Far",53900,1,"High",18,2177,160
"Middle","Male","Own","Married","Close",70400,2,NA,12,1127,924
"Young","Male","Rent","Married","Close",36900,0,"Medium",18,721,828
"Old","Female","Own","Single","Close",36100,0,"Medium",12,438,181
"Young","Female","Rent","Single","Close",11000,2,NA,18,393,22
"Middle","Male","Own","Single","Close",61600,0,NA,18,1666,510
"Middle","Male","Own","Married","Close",88700,1,NA,18,2448,755
"Middle","Female","Own","Married","Far",88600,1,"High",18,2563,1243
"Middle","Male","Rent","Married","Close",79500,0,"High",18,1763,219
"Young","Female","Rent","Single","Close",18900,1,"Low",6,184,882
"Old","Female","Own","Single","Close",17300,0,"Low",6,166,659
"Middle","Female","Rent","Married","Close",81400,2,NA,6,1014,835
"Young","Male","Rent","Married","Close",36500,0,"Medium",24,1140,796
"Middle","Female","Own","Single","Close",43300,1,NA,18,1021,327
"Middle","Male","Own","Married","Close",76700,1,"Medium",24,1431,605
"Middle","Male","Own","Married","Far",123000,1,"High",24,5878,72
"Middle","Male","Own","Single","Close",56300,3,"Low",6,321,1233
"Middle","Male","Own","Married","Close",70000,0,"High",24,1974,742
"Middle","Male","Own","Single","Close",48100,0,"Medium",18,1640,652
"Young","Female","Rent","Married","Close",79400,0,NA,6,1175,264
"Middle","Female","Own","Married","Close",63700,3,"Low",12,364,1089
"Young","Male","Rent","Single","Close",21200,0,NA,12,417,352
"Middle","Male","Rent","Single","Close",53900,0,"Medium",12,1060,832
"Old","Female","Own","Married","Close",118800,0,"High",18,2176,1276
"Middle","Female","Own","Married","Close",79400,3,"Low",6,200,491
"Old","Female","Rent","Single","Far",20400,0,NA,24,513,430
"Middle","Male","Rent","Single","Close",52400,0,NA,18,857,1010
"Old","Female","Own","Single","Close",17600,0,"Low",6,224,535
"Young","Male","Rent","Single","Close",23500,0,"Low",12,371,90
"Young","Male","Rent","Married","Close",56900,2,"Low",12,687,220
"Middle","Male","Own","Married","Close",95100,2,"Medium",12,809,753
"Middle","Male","Own","Married","Close",119800,2,"Medium",24,2090,104
"Old","Male","Own","Single","Close",58700,0,NA,24,1479,989
"Middle","Female","Own","Married","Close",76700,2,"Medium",6,534,62
"Middle","Male","Own","Married","Close",67600,1,"Medium",18,1172,879
"Middle","Male","Own","Single","Close",61500,2,"Medium",24,968,454
"Old","Female","Own","Married","Close",72900,0,"High",6,753,384
"Old","Female","Rent","Single","Close",21200,0,"Low",6,242,838
"Old","Male","Rent","Single","Close",32400,1,"Low",12,515,91
"Middle","Female","Own","Married","Close",62200,3,NA,24,2119,158
"Old","Female","Own","Single","Close",24400,0,"Low",6,491,26
"Middle","Male","Own","Married","Close",66500,3,"Low",12,286,240
"Old","Female","Rent","Married","Far",72200,0,"High",24,3069,1198
"Young","Female","Rent","Single","Close",16900,2,NA,6,281,73
"Young","Male","Rent","Married","Close",56300,0,NA,24,1608,231
"Old","Female","Own","Single","Far",22000,0,"Medium",12,736,591
"Young","Female","Rent","Single","Close",18800,2,"Low",18,170,777
"Young","Female","Rent","Single","Close",26600,2,"Low",24,245,515
"Middle","Female","Rent","Married","Close",72100,0,"High",24,3052,434
"Middle","Male","Own","Single","Far",55600,0,"High",18,1786,1049
"Young","Female","Rent","Single","Close",14600,3,"Low",6,47,1026
"Old","Male","Own","Married","Close",45900,0,"Medium",24,1645,1254
"Young","Female","Own","Single","Close",15100,0,"Low",6,274,1107
"Middle","Male","Own","Married","Close",140700,3,"Medium",12,1001,1197
"Middle","Male","Own","Married","Close",90300,0,"High",24,1944,126
"Old","Male","Own","Married","Close",95900,0,"High",24,2585,1235
"Young","Male","Rent","Single","Far",20800,0,NA,6,260,655
"Middle","Male","Own","Married","Close",98400,0,"High",12,1414,872
"Young","Female","Rent","Single","Close",15000,2,NA,12,341,828
"Young","Male","Rent","Single","Close",17700,1,"Low",12,268,286
"Middle","Male","Own","Married","Close",102400,1,"High",18,1237,279
"Young","Male","Rent","Single","Far",17800,1,NA,18,589,1032
"Young","Male","Rent","Single","Far",13800,1,"Low",12,368,410
"Middle","Female","Rent","Single","Close",50500,1,"Medium",12,940,811
"Middle","Female","Rent","Single","Close",42000,3,"Low",18,232,1094
"Middle","Male","Own","Married","Close",95800,3,"Low",12,678,415
"Young","Male","Rent","Single","Close",15200,0,NA,12,324,587
"Young","Male","Rent","Single","Close",15800,2,"Low",12,147,96
"Old","Male","Own","Single","Close",51400,0,NA,6,694,206
"Old","Female","Rent","Married","Close",38200,0,"Medium",6,526,236
"Middle","Female","Rent","Single","Close",39900,1,"Low",12,586,108
"Young","Female","Own","Single","Close",21600,2,NA,12,491,41
"Old","Female","Own","Married","Close",65900,0,"High",24,1436,834
"Middle","Female","Own","Married","Close",97500,1,"High",12,1280,465
"Middle","Male","Rent","Married","Far",63000,0,"High",18,2107,1164
"Young","Female","Own","Single","Far",31900,0,NA,12,860,815
"Middle","Female","Rent","Single","Far",45500,1,NA,18,1624,762
"Old","Female","Own","Single","Close",12800,0,NA,12,230,486
"Old","Female","Own","Married","Far",12600,2,"Low",12,164,438
"Middle","Male","Rent","Single","Close",50700,3,"Low",6,157,1012
"Young","Female","Rent","Single","Close",17900,3,"Low",6,62,863
"Young","Female","Rent","Single","Close",14400,1,"Low",18,223,620
"Old","Female","Own","Single","Close",23800,0,"Low",6,438,1125
"Middle","Male","Own","Married","Close",84700,3,NA,24,2705,670
"Middle","Female","Rent","Single","Close",36900,1,"Low",6,371,1012
"Old","Female","Own","Single","Close",20600,0,"Low",6,201,1125
"Young","Male","Rent","Married","Close",41500,0,NA,24,1213,806
"Middle","Male","Own","Married","Close",83100,2,"Medium",6,586,597
"Middle","Male","Own","Married","Far",88700,2,"High",24,2693,171
"Old","Female","Own","Married","Close",54700,0,"Medium",24,1404,597
"Middle","Male","Own","Single","Close",68900,2,NA,18,2784,468
"Young","Female","Rent","Single","Close",22200,2,"Low",18,275,681
"Middle","Female","Own","Married","Close",70900,1,"Medium",12,794,733
"Middle","Male","Own","Single","Close",55900,0,"Medium",12,964,949
"Middle","Female","Own","Married","Close",80800,1,NA,18,1598,938
"Middle","Male","Own","Married","Far",100600,3,"High",24,2838,797
"Old","Female","Own","Single","Close",39900,0,NA,6,619,1211
"Young","Female","Rent","Married","Close",71200,3,"Low",12,392,937
"Old","Female","Own","Married","Close",61000,0,NA,18,1850,619
"Old","Male","Own","Single","Close",38700,0,NA,24,1506,150
"Middle","Male","Own","Married","Far",98900,0,NA,18,3126,114
"Middle","Male","Own","Single","Close",64300,0,NA,6,1325,470
"Middle","Female","Own","Married","Close",75600,0,NA,12,1541,197
"Young","Female","Rent","Married","Far",53700,0,"High",24,2491,446
"Middle","Male","Own","Single","Close",66600,0,"High",18,1177,397
"Old","Female","Own","Married","Close",89000,0,"High",12,1487,530
"Young","Female","Rent","Single","Far",18200,2,"Low",12,322,306
"Young","Female","Rent","Married","Close",73600,1,"Medium",6,647,792
"Middle","Female","Rent","Single","Far",45600,0,"High",12,1322,842
"Young","Male","Own","Married","Close",73000,0,NA,6,1534,648
"Young","Male","Own","Single","Close",29600,3,NA,12,583,525
"Middle","Male","Rent","Married","Close",92900,1,NA,6,1705,613
"Old","Female","Rent","Single","Far",13900,0,"Low",6,191,598
"Young","Male","Rent","Married","Close",64300,3,"Low",6,239,558
"Middle","Male","Own","Married","Close",77100,2,"Medium",6,568,221
"Young","Female","Own","Single","Close",27500,3,NA,12,571,916
"Old","Male","Rent","Married","Close",81800,0,"High",6,919,106
"Old","Female","Rent","Married","Close",41700,0,"Medium",18,1398,257
"Old","Female","Own","Married","Close",51000,0,"Medium",12,1025,433
"Middle","Male","Rent","Single","Close",55900,1,"Medium",12,909,175
"Young","Male","Rent","Single","Close",19800,2,"Low",12,209,559
"Young","Male","Rent","Single","Close",17600,0,NA,6,245,1186
"Middle","Male","Rent","Married","Far",84100,1,"High",24,2362,452
"Middle","Male","Own","Married","Close",85600,0,"High",24,3380,184
"Young","Male","Rent","Single","Close",13400,0,"Low",18,424,703
"Young","Female","Rent","Married","Far",47200,1,"Medium",12,1272,159
"Middle","Male","Own","Married","Close",96300,1,"High",24,1909,275
"Middle","Male","Own","Married","Close",60500,3,"Low",12,340,634
"Middle","Female","Own","Single","Close",35800,1,NA,24,1355,1227
"Middle","Male","Rent","Married","Close",106100,3,"Low",12,472,49
"Young","Male","Rent","Single","Close",18000,0,"Low",12,303,1029
"Middle","Male","Rent","Single","Far",50000,1,NA,6,1079,911
"Old","Female","Own","Single","Close",58200,0,"Medium",18,981,783
"Young","Female","Rent","Single","Far",13500,2,"Low",12,160,150
"Middle","Female","Own","Married","Close",59900,1,NA,6,613,1141
"Young","Female","Rent","Single","Far",18400,1,"Low",12,662,712
"Middle","Male","Rent","Married","Close",62800,3,"Low",6,177,635
"Middle","Male","Rent","Single","Close",70000,0,"High",6,785,1143
"Young","Female","Rent","Single","Far",13600,1,NA,18,349,60
"Middle","Female","Rent","Married","Close",97400,3,"Low",6,213,251
"Old","Female","Own","Married","Far",37500,0,"Medium",18,1578,478
"Old","Female","Own","Single","Close",22800,0,"Low",6,258,1175
"Young","Female","Rent","Single","Close",14200,0,NA,6,192,133
"Young","Male","Rent","Single","Close",18700,0,"Low",12,289,905
"Middle","Male","Own","Married","Close",107400,1,"High",24,1821,1050
"Young","Female","Rent","Single","Far",28900,0,"Medium",24,905,1185
"Middle","Male","Rent","Married","Close",38400,2,"Low",6,188,150
"Middle","Male","Rent","Single","Close",54200,0,NA,18,1405,905
"Old","Male","Own","Married","Close",102700,0,NA,18,2381,1195
"Young","Female","Rent","Single","Close",13300,1,"Low",6,184,578
"Middle","Male","Own","Single","Close",60200,3,NA,12,1364,550
"Young","Male","Rent","Single","Close",21400,0,NA,12,414,89
"Young","Female","Rent","Single","Close",21700,2,NA,6,387,18
"Young","Male","Rent","Single","Close",23200,1,"Low",24,504,636
"Middle","Male","Own","Married","Close",64800,2,"Medium",12,574,637
"Middle","Male","Rent","Single","Close",55600,0,"Medium",6,984,255
"Middle","Male","Own","Married","Far",89500,0,"High",24,5209,981
"Young","Female","Rent","Single","Far",12500,1,NA,12,422,695
"Middle","Male","Own","Married","Close",87000,0,"High",24,1594,938
"Middle","Female","Rent","Single","Far",31200,3,NA,24,1087,752
"Young","Female","Rent","Single","Close",13700,1,NA,6,163,385
"Middle","Male","Own","Single","Close",55500,3,"Low",18,427,641
"Middle","Female","Rent","Single","Close",58600,1,"Medium",6,624,14
"Young","Female","Own","Married","Far",55900,1,NA,6,788,98
"Young","Female","Rent","Single","Far",13700,2,NA,24,414,53
"Old","Female","Own","Married","Far",81400,0,"High",24,3001,538
"Old","Female","Own","Married","Close",90500,0,"High",6,863,735
"Middle","Female","Own","Married","Close",82200,1,NA,12,1517,596
"Middle","Male","Own","Married","Far",65400,3,NA,6,836,820
"Middle","Male","Own","Single","Close",74400,0,"High",12,1152,282
"Young","Male","Rent","Married","Far",63300,3,NA,6,1408,886
"Young","Male","Rent","Married","Far",51600,0,NA,12,1082,311
"Young","Male","Rent","Married","Far",55000,0,NA,12,1162,324
"Middle","Female","Own","Single","Close",43900,2,"Low",6,358,862
"Young","Female","Own","Single","Close",20300,1,"Low",12,304,1290
"Young","Female","Own","Single","Far",16300,0,NA,12,360,1143
"Middle","Male","Own","Married","Close",97600,2,"Medium",12,1162,1193
"Old","Female","Rent","Single","Far",15100,0,"Low",6,348,726
"Young","Female","Rent","Single","Close",12500,3,NA,12,206,755
"Young","Female","Rent","Single","Close",10600,2,"Low",12,114,468
"Middle","Female","Own","Single","Close",41300,1,NA,18,932,56
"Young","Female","Own","Single","Close",27200,2,"Low",18,446,1077
"Middle","Male","Own","Married","Close",102400,1,NA,12,2466,411
"Young","Female","Own","Single","Far",27900,1,NA,12,576,793
"Old","Male","Rent","Married","Far",23800,0,NA,12,428,558
"Middle","Male","Own","Married","Close",100000,1,"High",24,2247,1190
"Middle","Female","Rent","Married","Far",43300,3,"Medium",24,716,935
"Middle","Male","Own","Married","Close",65800,1,NA,12,1017,292
"Middle","Female","Own","Married","Close",49700,2,"Low",18,613,17
"Middle","Female","Rent","Married","Close",82300,2,"Medium",12,580,1035
"Middle","Male","Rent","Single","Close",41200,0,"Medium",12,841,443
"Young","Male","Rent","Single","Close",29200,0,"Low",18,737,621
"Middle","Female","Own","Single","Close",51900,2,NA,12,1162,1063
"Middle","Female","Own","Married","Close",85500,2,"Medium",18,895,605
"Young","Female","Rent","Single","Far",12400,3,"Low",18,205,463
"Middle","Female","Own","Married","Close",111900,1,NA,12,2340,872
"Middle","Female","Rent","Single","Close",40400,1,"Low",24,630,243
"Young","Male","Rent","Single","Far",10900,0,"Low",24,407,98
"Middle","Male","Own","Married","Close",82400,3,NA,18,2122,758
"Young","Female","Rent","Single","Close",13200,1,"Low",12,227,882
"Middle","Male","Rent","Single","Close",57800,0,"Medium",24,1149,907
"Old","Female","Own","Married","Close",52200,1,"Medium",12,669,39
"Middle","Male","Rent","Married","Far",64600,2,NA,24,2935,1288
"Middle","Female","Own","Single","Close",43100,0,NA,24,1444,443
"Old","Female","Own","Married","Far",40100,0,"Medium",12,1384,561
"Old","Male","Own","Married","Close",84500,0,NA,12,1557,1108
"Old","Male","Rent","Married","Close",34500,0,"Medium",12,802,886
"Young","Female","Rent","Married","Close",61000,1,NA,18,1611,1220
"Old","Female","Own","Married","Far",79300,0,NA,12,2047,759
"Middle","Male","Rent","Single","Close",44500,0,"Medium",24,1175,700
"Young","Male","Rent","Married","Close",39700,0,"Medium",18,1011,426
"Old","Female","Own","Single","Close",30300,0,"Low",18,1062,254
"Young","Female","Rent","Single","Close",20100,1,"Low",12,271,1095
"Old","Male","Own","Married","Far",86500,0,"High",24,2690,809
"Old","Female","Rent","Single","Close",42500,0,"Medium",24,918,1139
"Middle","Male","Own","Married","Close",102300,0,"High",24,2438,603
"Middle","Female","Own","Single","Far",52600,2,"Medium",12,1307,1114
"Middle","Female","Rent","Single","Far",37800,2,NA,12,1185,202
"Young","Female","Rent","Single","Close",20300,2,"Low",12,180,718
"Middle","Male","Own","Married","Close",71600,1,NA,12,1198,1211
"Young","Male","Rent","Married","Close",54500,1,"Medium",18,1001,428
"Middle","Male","Rent","Single","Close",54700,0,"Medium",24,1355,153
"Middle","Male","Rent","Single","Far",58600,2,NA,6,989,794
"Middle","Male","Rent","Single","Far",53800,0,"High",12,1803,952
"Middle","Female","Own","Married","Close",131500,3,NA,6,2840,653
"Middle","Male","Rent","Single","Far",52200,0,"High",24,1909,953
"Young","Male","Rent","Married","Close",37200,1,"Low",6,247,991
"Young","Male","Rent","Single","Far",22900,1,NA,12,814,640
"Young","Male","Rent","Married","Close",55500,3,"Low",12,216,702
"Young","Female","Rent","Single","Far",12800,1,NA,24,365,888
"Young","Female","Rent","Single","Close",17600,2,"Low",18,163,177
"Old","Female","Own","Single","Far",28300,0,"Medium",24,933,325
"Old","Male","Own","Single","Close",41900,0,"Medium",6,654,180
"Young","Female","Rent","Single","Close",14100,3,NA,6,153,96
"Middle","Male","Rent","Single","Close",52100,0,NA,12,1668,225
"Middle","Male","Rent","Single","Far",38700,1,"Medium",18,1009,948
"Middle","Female","Rent","Single","Far",44100,1,"Medium",18,1659,115
"Middle","Male","Own","Married","Far",79200,1,"High",6,1905,108
"Young","Female","Rent","Single","Close",22600,3,NA,6,521,1224
"Middle","Male","Rent","Single","Close",55100,2,NA,6,826,457
"Old","Female","Own","Married","Far",70400,0,"High",18,2610,1241
"Middle","Male","Own","Married","Close",107300,2,"Medium",24,1194,131
"Middle","Female","Rent","Married","Close",66500,1,NA,24,1181,464
"Young","Male","Rent","Single","Close",10200,0,NA,24,362,808
"Young","Female","Own","Single","Far",41000,1,"Medium",12,768,49
"Middle","Female","Rent","Single","Close",26200,1,"Low",12,381,105
"Middle","Male","Rent","Married","Far",72200,3,"Medium",18,1811,1016
"Middle","Male","Rent","Single","Far",36700,1,"Medium",24,1218,286
"Old","Male","Own","Married","Far",74500,0,NA,18,1413,684
"Middle","Female","Own","Single","Close",60200,1,NA,12,1748,351
"Old","Male","Rent","Single","Close",34500,0,"Medium",24,639,971
"Old","Female","Own","Married","Close",83700,0,"High",18,1582,1179
"Young","Male","Rent","Single","Far",14800,1,NA,12,376,722
"Middle","Male","Own","Married","Close",106400,0,NA,12,1757,815
"Young","Female","Rent","Married","Close",42000,3,"Low",6,105,1268
"Middle","Male","Rent","Married","Close",118800,0,"High",12,2631,933
"Young","Female","Own","Single","Far",21900,2,"Low",24,486,313
"Middle","Male","Rent","Single","Close",39500,1,NA,6,412,1186
"Middle","Male","Rent","Single","Close",45900,0,"Medium",12,716,293
"Young","Female","Rent","Married","Close",37100,2,"Low",24,653,1087
"Middle","Female","Rent","Single","Close",28200,1,"Low",6,224,1152
"Middle","Male","Rent","Married","Close",74600,2,"Medium",18,705,1108
"Middle","Male","Own","Married","Close",122700,1,NA,18,4984,699
"Young","Female","Rent","Single","Close",14200,2,"Low",18,197,833
"Middle","Male","Own","Married","Far",75500,0,NA,18,2450,443
"Middle","Male","Own","Single","Close",62900,0,NA,24,2561,698
"Young","Male","Rent","Single","Far",19400,0,"Low",6,563,571
"Middle","Female","Rent","Single","Close",46600,0,NA,12,546,193
"Middle","Male","Own","Married","Far",79700,1,"High",24,3384,834
"Middle","Male","Own","Single","Close",45900,2,"Low",12,416,36
"Old","Female","Own","Married","Close",42800,0,"Medium",6,685,383
"Old","Male","Own","Married","Far",65500,0,"High",24,1931,1280
"Old","Female","Rent","Single","Close",33600,0,"Medium",12,573,663
"Middle","Female","Own","Single","Far",55600,1,"High",18,1553,959
"Young","Female","Rent","Single","Close",24000,2,NA,6,362,760
"Young","Male","Rent","Single","Far",25700,0,"Medium",18,907,682
"Old","Female","Own","Married","Close",21500,0,"Low",18,445,955
"Old","Female","Rent","Married","Close",68600,0,"High",18,1342,710
"Young","Female","Rent","Single","Far",23100,2,"Low",12,457,635
"Middle","Female","Rent","Married","Close",53300,0,"Medium",24,1598,272
"Old","Female","Own","Married","Close",112800,0,"High",12,1861,633
"Old","Male","Own","Married","Close",124900,0,"High",18,4109,107
"Middle","Female","Own","Single","Close",72200,0,NA,18,3278,339
"Middle","Male","Rent","Single","Close",35100,1,"Low",6,421,501
"Old","Female","Rent","Single","Close",14900,0,NA,12,275,787
"Middle","Male","Rent","Single","Close",72000,0,"High",12,1475,96
"Middle","Male","Own","Married","Close",82400,0,"High",18,1779,63
"Young","Male","Rent","Married","Close",41600,3,NA,24,1634,1078
"Middle","Female","Own","Married","Close",68500,2,NA,12,1500,1269
"Young","Male","Own","Married","Close",62200,0,"High",24,1348,560
"Old","Female","Own","Single","Close",35900,0,NA,12,962,232
"Young","Male","Rent","Single","Close",14100,0,"Low",12,328,868
"Young","Female","Rent","Married","Close",36500,1,NA,18,747,1275
"Middle","Female","Own","Married","Close",86400,1,"High",12,1713,209
"Old","Female","Rent","Married","Close",39500,0,"Medium",12,1006,945
"Old","Male","Own","Married","Close",85300,0,NA,12,2523,540
"Old","Female","Own","Married","Close",110700,0,"High",12,2458,625
"Young","Male","Rent","Single","Far",17700,0,"Low",18,742,1195
"Young","Female","Rent","Married","Far",33200,1,NA,24,1639,1090
"Middle","Female","Own","Single","Close",53800,0,"Medium",12,843,1035
"Old","Male","Rent","Single","Close",44400,0,"Medium",18,886,1211
"Middle","Female","Rent","Married","Close",135700,1,"High",24,2746,770
"Young","Female","Rent","Single","Far",20700,1,"Low",12,550,117
"Middle","Male","Rent","Married","Far",83500,2,"High",24,2098,382
"Middle","Female","Rent","Married","Close",84200,2,"Medium",24,954,776
"Middle","Female","Rent","Married","Close",79900,1,"Medium",12,1041,997
"Old","Female","Rent","Single","Far",19700,0,"Low",6,535,343
"Middle","Female","Rent","Single","Close",35300,0,NA,18,1369,114
"Old","Male","Own","Married","Far",52000,0,"High",18,2545,1146
"Young","Male","Rent","Single","Close",21300,1,NA,12,329,129
"Middle","Male","Own","Single","Close",63700,0,NA,6,1351,785
"Old","Female","Own","Married","Close",25900,0,"Low",18,582,318
"Middle","Male","Rent","Married","Close",65800,2,"Medium",18,578,1181
"Old","Female","Rent","Single","Close",11000,0,NA,24,195,73
"Old","Female","Rent","Married","Close",65900,0,"High",12,777,26
"Middle","Female","Own","Married","Close",108100,1,"High",12,1133,51
"Middle","Male","Own","Married","Close",107300,2,"Medium",18,1566,279
"Middle","Female","Rent","Married","Close",79500,0,"High",12,1651,1243
"Middle","Female","Rent","Married","Close",95900,0,NA,24,3168,88
"Middle","Male","Rent","Single","Close",45200,1,"Medium",18,699,711
"Middle","Male","Own","Married","Close",98500,0,"High",18,2034,319
"Old","Female","Own","Married","Close",96200,0,"High",12,1457,949
"Young","Male","Rent","Single","Close",17900,0,NA,18,395,1108
"Middle","Male","Own","Married","Close",42700,0,"Medium",6,541,634
"Middle","Male","Own","Single","Far",49700,0,"High",24,2844,764
"Middle","Female","Rent","Single","Close",43000,3,"Low",24,225,591
"Young","Female","Rent","Single","Close",15500,1,"Low",6,210,592
"Young","Male","Rent","Single","Close",13000,3,"Low",6,43,982
"Middle","Female","Rent","Single","Close",27200,3,"Low",24,243,1200
"Old","Female","Own","Married","Close",26700,0,"Low",24,1120,477
"Old","Male","Own","Single","Far",61000,0,"High",6,975,1244
"Middle","Female","Own","Married","Close",76600,3,NA,24,2904,1144
"Middle","Male","Own","Married","Close",117500,2,"Medium",12,927,163
"Old","Male","Own","Married","Close",90600,0,"High",24,3167,1281
"Young","Female","Rent","Single","Far",12600,0,"Low",6,241,105
"Old","Female","Own","Single","Close",12700,2,"Low",6,65,333
"Middle","Female","Own","Married","Far",77600,3,"Medium",12,858,947
"Middle","Female","Rent","Married","Far",92400,1,NA,6,2191,964
"Old","Female","Rent","Married","Close",71800,0,"High",24,1946,665
"Middle","Male","Own","Married","Far",95800,3,NA,12,2581,1294
"Young","Female","Own","Single","Close",32600,3,"Low",12,172,259
"Middle","Male","Own","Married","Close",74500,2,"Medium",12,824,583
"Old","Female","Rent","Single","Close",29200,0,"Low",12,556,1165
"Young","Female","Rent","Single","Far",12900,1,"Low",6,167,689
"Middle","Male","Rent","Married","Close",117700,1,"High",12,2104,676
"Middle","Female","Own","Married","Close",64100,1,"Medium",18,1332,1017
"Middle","Female","Rent","Single","Close",46500,1,"Medium",24,829,772
"Young","Female","Rent","Single","Close",12400,1,NA,12,229,962
"Middle","Male","Own","Married","Far",130600,0,"High",18,3442,216
"Middle","Male","Own","Married","Far",74400,0,"High",6,1893,656
"Old","Female","Own","Single","Far",40600,2,"Medium",6,690,767
"Young","Female","Rent","Married","Close",54200,1,"Medium",6,486,211
"Middle","Male","Own","Single","Far",65400,1,"High",12,2290,22
"Middle","Male","Rent","Single","Close",49100,0,NA,6,934,33
"Young","Female","Rent","Single","Close",10600,2,NA,24,517,293
"Young","Female","Rent","Married","Close",76400,0,NA,12,2216,537
"Middle","Female","Rent","Married","Close",93700,1,"High",24,1521,585
"Middle","Male","Rent","Single","Far",49000,0,"High",18,1523,992
"Middle","Female","Own","Married","Close",96500,1,"High",18,1364,1217
"Middle","Male","Own","Single","Close",55600,0,NA,12,952,22
"Middle","Male","Own","Married","Close",99600,1,"High",6,871,1168
"Middle","Female","Own","Married","Close",79900,3,"Low",12,295,1224
"Old","Female","Rent","Married","Close",50500,0,"Medium",12,642,1277
"Old","Female","Own","Single","Far",16300,0,"Low",6,317,900
"Old","Female","Own","Married","Close",49200,0,"Medium",12,1078,291
"Middle","Male","Own","Single","Far",48100,2,"Medium",18,961,689
"Middle","Male","Own","Single","Far",61300,2,"High",24,1241,558
"Middle","Female","Own","Married","Close",72600,1,NA,18,1999,530
"Young","Male","Rent","Single","Far",19500,0,NA,24,571,1150
"Young","Female","Rent","Single","Close",17200,1,NA,12,329,490
"Middle","Male","Rent","Single","Far",51100,0,"High",24,1984,980
"Middle","Male","Own","Single","Close",76800,1,"Medium",18,1061,679
"Middle","Male","Own","Single","Far",60200,0,"High",12,1955,601
"Middle","Male","Rent","Single","Close",59100,2,"Low",18,580,536
"Old","Female","Own","Single","Close",32500,0,"Medium",24,883,960
"Middle","Female","Rent","Single","Far",49500,2,"Medium",12,1195,1168
"Middle","Male","Own","Married","Close",109600,1,"High",12,2318,894
"Young","Female","Rent","Married","Close",47300,0,NA,6,640,45
"Middle","Male","Rent","Married","Close",93000,1,"High",24,2644,166
"Young","Female","Own","Single","Far",32000,1,NA,24,1320,251
